,Station,Time,Forecast(Entry/h),",Forecast(Exit/h)",Forecast(Traffic/h_turnstl)
1,14 ST-UNION SQ,8/5/2017 1:00,3740.996239,1728.829934,39.16460972
2,14 ST-UNION SQ,8/5/2017 5:00,619.5046043,455.2464727,8.409332433
3,14 ST-UNION SQ,8/5/2017 9:00,1993.603399,3643.519978,39.78427751
4,14 ST-UNION SQ,8/5/2017 13:00,3484.591241,5789.352226,61.40142215
5,14 ST-UNION SQ,8/5/2017 17:00,6945.235542,5142.814185,81.59529331
6,14 ST-UNION SQ,8/5/2017 21:00,8207.742151,4806.313306,90.12537404
7,14 ST-UNION SQ,8/6/2017 1:00,3779.887122,1761.707524,39.4862739
8,14 ST-UNION SQ,8/6/2017 5:00,1011.452318,587.3025373,11.19222487
9,14 ST-UNION SQ,8/6/2017 9:00,2223.303567,3441.611454,39.78201549
10,14 ST-UNION SQ,8/6/2017 13:00,3580.295361,5307.133526,60.52058707
11,14 ST-UNION SQ,8/6/2017 17:00,6670.021281,4759.041598,78.59544122
12,14 ST-UNION SQ,8/6/2017 21:00,7815.069155,4444.189641,86.31711166
13,14 ST-UNION SQ,8/7/2017 1:00,3775.259149,1971.266851,40.11344965
14,14 ST-UNION SQ,8/7/2017 5:00,1300.214092,923.5356974,14.300896
15,14 ST-UNION SQ,8/7/2017 9:00,2380.676055,3452.515469,40.46761246
16,14 ST-UNION SQ,8/7/2017 13:00,3603.306677,5093.822964,59.45101914
17,14 ST-UNION SQ,8/7/2017 17:00,6370.403234,4614.605117,76.06161447
18,14 ST-UNION SQ,8/7/2017 21:00,7401.084838,4332.798342,83.21878566
19,14 ST-UNION SQ,8/8/2017 1:00,3773.555547,2155.415447,40.76104036
20,14 ST-UNION SQ,8/8/2017 5:00,1555.824719,1227.859548,17.05110923
21,14 ST-UNION SQ,8/8/2017 9:00,2523.066611,3463.107683,41.0797139
22,14 ST-UNION SQ,8/8/2017 13:00,3621.329629,4911.340829,58.53051801
23,14 ST-UNION SQ,8/8/2017 17:00,6102.121713,4489.13233,73.77582979
24,14 ST-UNION SQ,8/8/2017 21:00,7027.677972,4239.457338,80.3394649
25,14 ST-UNION SQ,8/9/2017 1:00,3772.017855,2320.812585,41.36020224
26,14 ST-UNION SQ,8/9/2017 5:00,1783.41603,1501.148324,19.59026414
27,14 ST-UNION SQ,8/9/2017 9:00,2650.464776,3475.62487,41.65444211
28,14 ST-UNION SQ,8/9/2017 13:00,3636.057718,4754.386025,57.67545317
29,14 ST-UNION SQ,8/9/2017 17:00,5860.941531,4381.719104,71.67608543
30,14 ST-UNION SQ,8/9/2017 21:00,6691.463348,4161.045436,77.70445385
31,14 ST-UNION SQ,8/10/2017 1:00,3769.967988,2470.4303,41.91441537
32,14 ST-UNION SQ,8/10/2017 5:00,1986.404638,1746.424536,21.92344732
33,14 ST-UNION SQ,8/10/2017 9:00,2763.978699,3490.307716,42.18429214
34,14 ST-UNION SQ,8/10/2017 13:00,3648.18313,4619.616913,56.89620361
35,14 ST-UNION SQ,8/10/2017 17:00,5643.782564,4290.533011,69.75224915
36,14 ST-UNION SQ,8/10/2017 21:00,6388.844179,4095.604405,75.28758007
37,14 ST-UNION SQ,8/11/2017 1:00,3767.267607,2606.277317,42.42676029
38,14 ST-UNION SQ,8/11/2017 5:00,2167.480149,1966.833205,24.0699206
39,14 ST-UNION SQ,8/11/2017 9:00,2864.911905,3507.00169,42.67462098
40,14 ST-UNION SQ,8/11/2017 13:00,3658.077,4504.365614,56.18388231
41,14 ST-UNION SQ,8/11/2017 17:00,5448.086554,4213.736972,67.9891067
42,14 ST-UNION SQ,8/11/2017 21:00,6116.428259,4041.573621,73.07202028
43,FLUSHING-MAIN,8/5/2017 0:00,1704.565053,2157.040329,34.37480061
44,FLUSHING-MAIN,8/5/2017 4:00,441.85904,434.2225994,7.237222526
45,FLUSHING-MAIN,8/5/2017 8:00,3026.81435,879.3220562,36.24680303
46,FLUSHING-MAIN,8/5/2017 12:00,3829.918686,1641.454348,51.49946695
47,FLUSHING-MAIN,8/5/2017 16:00,2565.030759,2171.972622,43.21830239
48,FLUSHING-MAIN,8/5/2017 20:00,3058.394967,4049.529513,65.90252552
49,FLUSHING-MAIN,8/6/2017 0:00,1659.72793,2120.649952,35.12103791
50,FLUSHING-MAIN,8/6/2017 4:00,561.4876106,498.0841963,10.05689803
51,FLUSHING-MAIN,8/6/2017 8:00,2740.975417,919.5113908,36.7318893
52,FLUSHING-MAIN,8/6/2017 12:00,3439.306762,1611.831395,50.7854782
