"","Station","Time(Ent)","Forecast(Ent)","Validation(Ent)","Actual(Ent)","Time(Ext)","Forecast(Ext)","Validation(Ext)","Actual(Ext)","Time(Trf)","Forecast(Trf)","Validation(Trf)","Actual(Trf)"
"1","14 ST-UNION SQ","2017-08-05 01:00:00",3740.99623880164,3974.95303096955,3662,"2017-08-05 01:00:00",1728.8299337716,1883.19074047594,1140.75,"2017-08-05 01:00:00",39.16460972083,39.9942758591294,32.4510135135135
"2","14 ST-UNION SQ","2017-08-05 05:00:00",619.504604287415,573.058776089518,293.5,"2017-08-05 05:00:00",455.246472686174,468.559861377106,143,"2017-08-05 05:00:00",8.40933243280308,7.14204189257767,2.94932432432432
"3","14 ST-UNION SQ","2017-08-05 09:00:00",1993.60339872766,2780.1448732132,2270.5,"2017-08-05 09:00:00",3643.5199783574,4477.21799256778,4289,"2017-08-05 09:00:00",39.7842775080169,49.3984197635062,44.3209459459459
"4","14 ST-UNION SQ","2017-08-05 13:00:00",3484.59124052411,3681.04329487684,3563.75,"2017-08-05 13:00:00",5789.3522262169,5923.83977467926,6187.5,"2017-08-05 13:00:00",61.4014221542883,64.1289061116121,65.8868243243243
"5","14 ST-UNION SQ","2017-08-05 17:00:00",6945.23554228558,6443.04046749815,6504,"2017-08-05 17:00:00",5142.81418534754,4632.3432744172,4741.5,"2017-08-05 17:00:00",81.5952933107224,74.8362886031405,75.9831081081081
"6","14 ST-UNION SQ","2017-08-05 21:00:00",8207.74215079166,9022.67083793448,10294.25,"2017-08-05 21:00:00",4806.31330582637,4993.60714348752,5545.75,"2017-08-05 21:00:00",90.1253740402526,94.6185981167677,107.027027027027
"7","14 ST-UNION SQ","2017-08-06 01:00:00",3779.88712210743,4031.95171181269,4038.25,"2017-08-06 01:00:00",1761.70752387032,2081.23918907206,1336.5,"2017-08-06 01:00:00",39.4862739047781,40.9107603176152,36.3158783783784
"8","14 ST-UNION SQ","2017-08-06 05:00:00",1011.4523175203,854.690149700722,412.75,"2017-08-06 05:00:00",587.302537262906,760.556076418038,164.5,"2017-08-06 05:00:00",11.1922248700627,9.52185490920456,3.90033783783784
"9","14 ST-UNION SQ","2017-08-06 09:00:00",2223.30356668961,2933.93732821204,1928.5,"2017-08-06 09:00:00",3441.61145367149,4408.36899851127,3557.75,"2017-08-06 09:00:00",39.7820154879616,49.5631803151099,37.0692567567568
"10","14 ST-UNION SQ","2017-08-06 13:00:00",3580.29536061609,3654.70162480838,3479.25,"2017-08-06 13:00:00",5307.1335264691,5681.10653285337,6143,"2017-08-06 13:00:00",60.5205870744442,62.650837120954,65.0152027027027
"11","14 ST-UNION SQ","2017-08-06 17:00:00",6670.02128070522,6196.69070306616,7369.5,"2017-08-06 17:00:00",4759.04159846224,4544.44037210218,5286.5,"2017-08-06 17:00:00",78.595441216842,72.8849264212597,85.5135135135135
"12","14 ST-UNION SQ","2017-08-06 21:00:00",7815.06915532146,8449.89833462845,8716.75,"2017-08-06 21:00:00",4444.18964114572,4850.62739824476,4999.25,"2017-08-06 21:00:00",86.3171116622483,90.8029501616687,92.6756756756757
"13","FLUSHING-MAIN","2017-08-05 00:00:00",1704.56505327764,1498.66495419776,1201.5,"2017-08-05 00:00:00",2157.04032947497,2202.45386346363,2147.75,"2017-08-05 00:00:00",34.3748006075015,33.7399702061954,31.0115740740741
"14","FLUSHING-MAIN","2017-08-05 04:00:00",441.859039967657,414.825188820154,135.75,"2017-08-05 04:00:00",434.222599416713,381.782479198595,293.75,"2017-08-05 04:00:00",7.23722252571541,5.50778768670062,3.97685185185185
"15","FLUSHING-MAIN","2017-08-05 08:00:00",3026.81434999982,3330.29653787069,3268.5,"2017-08-05 08:00:00",879.322056240989,926.876042771087,775,"2017-08-05 08:00:00",36.2468030255139,38.7330353639704,37.4398148148148
"16","FLUSHING-MAIN","2017-08-05 12:00:00",3829.91868646076,4270.40908063061,4530.5,"2017-08-05 12:00:00",1641.45434786411,1784.62038864898,1771.5,"2017-08-05 12:00:00",51.49946695317,55.710532455199,58.3518518518519
"17","FLUSHING-MAIN","2017-08-05 16:00:00",2565.03075909079,2541.28746131139,2645.25,"2017-08-05 16:00:00",2171.97262225317,2096.15673278925,1882,"2017-08-05 16:00:00",43.218302389208,42.0329037871528,41.9189814814815
"18","FLUSHING-MAIN","2017-08-05 20:00:00",3058.39496698965,2710.97190659514,2867,"2017-08-05 20:00:00",4049.52951323897,4068.49124569635,4562.5,"2017-08-05 20:00:00",65.9025255238661,62.2666165288706,68.7916666666667
"19","FLUSHING-MAIN","2017-08-06 00:00:00",1659.72792988431,1649.42673567098,1304.5,"2017-08-06 00:00:00",2120.64995242672,2223.31713977885,2155.5,"2017-08-06 00:00:00",35.1210379118126,33.8164493013917,32.037037037037
"20","FLUSHING-MAIN","2017-08-06 04:00:00",561.487610560633,714.992675381646,134.75,"2017-08-06 04:00:00",498.08419625799,477.665339312652,347.75,"2017-08-06 04:00:00",10.056898031647,7.87535444071166,4.46759259259259
"21","FLUSHING-MAIN","2017-08-06 08:00:00",2740.97541719251,3119.56878328843,3022.75,"2017-08-06 08:00:00",919.511390798016,1008.45330339859,770.25,"2017-08-06 08:00:00",36.7318892978465,38.3500932368727,35.1203703703704
"22","FLUSHING-MAIN","2017-08-06 12:00:00",3439.30676194968,3917.31668507155,4071.25,"2017-08-06 12:00:00",1611.83139488054,1750.56392713063,1635.75,"2017-08-06 12:00:00",50.7854781987393,54.0184091428,52.8425925925926
"23","FLUSHING-MAIN","2017-08-06 16:00:00",2371.65565208492,2509.43056131726,2585.5,"2017-08-06 16:00:00",2064.56145918481,2052.2525944936,2109,"2017-08-06 16:00:00",43.1222204851227,41.3934989989589,43.4675925925926
"24","FLUSHING-MAIN","2017-08-06 20:00:00",2760.19334232995,2643.15301808212,3127.25,"2017-08-06 20:00:00",3859.67087406092,3848.88980825622,4270.5,"2017-08-06 20:00:00",64.0232228025466,60.0235294755859,68.4976851851852
"25","JKSN HT-ROOSVLT","2017-08-05 00:00:00",1315.58382269255,1201.3020762886,1014.25,"2017-08-05 00:00:00",1838.79871600594,1815.054947944,1738.75,"2017-08-05 00:00:00",35.5933281434042,34.5516154719785,31.2840909090909
"26","JKSN HT-ROOSVLT","2017-08-05 04:00:00",416.531468305387,252.633140043057,222.5,"2017-08-05 04:00:00",967.092613752926,631.910174845456,468,"2017-08-05 04:00:00",13.7424242657461,9.66304386949993,7.84659090909091
"27","JKSN HT-ROOSVLT","2017-08-05 08:00:00",2238.17760618642,2347.47778555974,2325.5,"2017-08-05 08:00:00",587.634949874987,581.15320414531,497.75,"2017-08-05 08:00:00",32.9575800613683,33.8080499858813,32.0823863636364
"28","JKSN HT-ROOSVLT","2017-08-05 12:00:00",3346.15962954607,3685.6745743248,3848.75,"2017-08-05 12:00:00",1026.44291333049,1130.08770211516,1091.75,"2017-08-05 12:00:00",50.1095886392853,54.0295083664602,56.1420454545455
"29","JKSN HT-ROOSVLT","2017-08-05 16:00:00",2322.1787905655,2211.7940116902,2356.75,"2017-08-05 16:00:00",1835.76376698991,1889.66052653438,1878.75,"2017-08-05 16:00:00",48.0782251522036,47.4458416506129,48.1306818181818
"30","JKSN HT-ROOSVLT","2017-08-05 20:00:00",2414.52564123572,2117.54253787645,2407.5,"2017-08-05 20:00:00",3194.55441606605,3259.0623628672,3521,"2017-08-05 20:00:00",63.7874341596464,61.6257311989451,67.3693181818182
"31","JKSN HT-ROOSVLT","2017-08-06 00:00:00",1161.79792716806,1309.38402617008,1080.25,"2017-08-06 00:00:00",1793.48664391322,1775.11164263149,1846.5,"2017-08-06 00:00:00",36.0510902947079,34.8539408369951,33.2585227272727
"32","JKSN HT-ROOSVLT","2017-08-06 04:00:00",331.704648302492,424.266040901393,276.5,"2017-08-06 04:00:00",1012.12654177845,716.67988907536,898.25,"2017-08-06 04:00:00",15.5249051088686,11.3694745893971,13.3494318181818
"33","JKSN HT-ROOSVLT","2017-08-06 08:00:00",1960.38687088279,2287.69867448784,2203.5,"2017-08-06 08:00:00",672.000562603761,671.229668855698,484,"2017-08-06 08:00:00",33.4141722325425,34.0984822543385,30.5397727272727
"34","JKSN HT-ROOSVLT","2017-08-06 12:00:00",2907.09766408662,3404.96528470997,3500,"2017-08-06 12:00:00",1065.29038020392,1162.2227193714,977,"2017-08-06 12:00:00",48.9242207807211,52.592690536295,50.875
"35","JKSN HT-ROOSVLT","2017-08-06 16:00:00",2057.78092858345,2203.4773226512,2352.25,"2017-08-06 16:00:00",1790.67175068316,1841.63919651,1881.25,"2017-08-06 16:00:00",47.524411624957,46.7631791808875,48.1079545454545
"36","JKSN HT-ROOSVLT","2017-08-06 20:00:00",2124.38276833109,2099.35850146193,2490.75,"2017-08-06 20:00:00",3008.53827997515,3066.54031487063,3397.75,"2017-08-06 20:00:00",61.9196160648639,59.6258644735371,66.9147727272727
"37","GRD CNTRL-42 ST","2017-08-05 00:00:00",2572.06126505322,2695.90792708267,2247.75,"2017-08-05 00:00:00",1474.6068459579,1733.52078866207,1053.25,"2017-08-05 00:00:00",26.7094518391608,28.1670692856989,25.0075757575758
